id,participation,category,institution,orientation principles to mitigation post 2020,impacts on economy,modality to mitigation contribution,contribution time horizon,comments,contribution to adaptation targets,attention to adaptation climate change,regarding means of implementation,sources of financing to implemention targets,international financing,"comments on implementation means
	 ","criteria, assumptions and general principals to Brazillian position as premissas e os princípios gerais que devem orientar a contribuição do Brasil ao novo acordo.

	 "
355,Individual,terceiro setor,,"O Brasil demonstrou ser capaz de reduzir emissões de forma ambiciosa, mas ainda pode fazer mais em todos os setores.",Os benefícios coletivos de ações de mitigação superam eventuais perdas econômicas de setores específicos.,Abordagens mistas que combinem duas ou mais das modalidades acima.,Até 2025,,Monitoramento dos impactos observados em nível nacional e local,"conscientização geral da população local sobre as atividades geradoras de impactos nocivos ao ambiente. 
","Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil deve implementar ações de mitigação que sejam de interesse nacional com recursos próprios, de acordo com a capacidade financeira do país. Poderão ser realizadas ações adicionais de mitigação, se houver apoio financeiro e tecnológico dos países desenvolvidos.","O Brasil deve apoiar os países de menor desenvolvimento relativo, de maneira voluntária e quando solicitado, por meio de iniciativas Sul-Sul.",,Devemos como nação autônoma tomar suas próprias iniciativas 
356,Individual,terceiro setor,,,Os benefícios coletivos de ações de mitigação superam eventuais perdas econômicas de setores específicos.,,Até 2030,,,,,,,,
358,Individual,academia,,"O Brasil demonstrou ser capaz de reduzir emissões de forma ambiciosa, mas ainda pode fazer mais em todos os setores.","Deve-se privilegiar ações que reduzam a taxa de crescimento das emissões, sem criar impedimento ao desenvolvimento econômico e social.","Ações ou políticas setoriais, com objetivos definidos para cada setor separadamente. Isto é, ações que utilizem diferentes métricas específicas, não necessariamente em toneladas de CO2eq, como, por exemplo, aumentar a participação de tecnologias de baixa emissão de carbono em um determinado setor ou reduzir a área de desmatamento.",Até 2030,,Apresentação de um plano ou estratégia nacional de adaptação.,,"Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil atingiu um grau de desenvolvimento considerável, mas ainda precisará de recursos internacionais para implementar efetivamente sua contribuição nacional ao novo acordo sob a Convenção.","O Brasil deve assumir o compromisso de apoiar outros países em desenvolvimento na implementação de suas respectivas ações de mitigação e/ou adaptação, por meio de iniciativas Sul-Sul.",,
359,Individual,academia,,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.",É aceitável que ações de mitigação impliquem algum grau de redução na atividade econômica.,"Ações ou políticas setoriais, com objetivos definidos para cada setor separadamente. Isto é, ações que utilizem diferentes métricas específicas, não necessariamente em toneladas de CO2eq, como, por exemplo, aumentar a participação de tecnologias de baixa emissão de carbono em um determinado setor ou reduzir a área de desmatamento.",,,Apresentação de um plano ou estratégia nacional de adaptação.,Agricultura familiar do semi-áridos nordestino,"Algumas ações de combate à mudança do clima dos países em desenvolvimento devem ser realizadas com recursos próprios na medida do possível, mas esforços adicionais dependem de recursos financeiros e transferência de tecnologia de países desenvolvidos, de forma a não comprometer a prioridade ao desenvolvimento econômico e social e à erradicação da pobreza.","O Brasil deve implementar ações de mitigação que sejam de interesse nacional com recursos próprios, de acordo com a capacidade financeira do país. Poderão ser realizadas ações adicionais de mitigação, se houver apoio financeiro e tecnológico dos países desenvolvidos.","O Brasil deve apoiar os países de menor desenvolvimento relativo, de maneira voluntária e quando solicitado, por meio de iniciativas Sul-Sul.",,
360,Representante de organização ou instituição,terceiro setor,Observatório do Clima,"O Brasil demonstrou ser capaz de reduzir emissões de forma ambiciosa, mas ainda pode fazer mais em todos os setores.",Os benefícios coletivos de ações de mitigação superam eventuais perdas econômicas de setores específicos.,"Redução ou limitação de emissões para o conjunto da economia, em relação a um ano de referência. Isto é, o total de emissões em toneladas de CO2eq em comparação a um ano anterior.",Múltiplos períodos,"Esforço atual. É fato que o Brasil reduziu suas emissões de gases de efeito estufa de forma significativa nos últimos anos, principalmente em decorrência da redução de emissões associadas ao desmatamento da Amazônia. No entanto, apesar de muito inferior a taxas de anos anteriores, a perda de área de florestas nativas ainda é significativa e o país é um dos maiores emissores de gases de efeito estufa por mudanças de uso do solo. Além disso, o país possui como um dos objetivos de seu Plano Nacional sobre Mudança do Clima a eliminação da perda líquida da área de cobertura florestal, objetivo este que, de acordo com o Plano Nacional, deveria ser atingido em 2015. E as emissões de todos os demais setores (energia, agropecuária, processos industriais e resíduos) vêm aumentando ao longo do tempo. Há, portanto, espaço para a redução de emissões em todos os setores de nossa economia, o que deve se refletir na definição de uma Contribuição Nacionalmente Determinada ambiciosa para o Brasil para o pós-2020.

Possíveis impactos da adoção de medidas de mitigação. Os efeitos positivos para o clima do planeta, os benefícios para o aumento da eficiência de diferentes setores de nossa economia, a geração de empregos relacionados a tecnologias limpas, e a economia gerada pela redução dos impactos que poderiam ser provocados pelas mudanças climáticas, em decorrência da inação, serão muito superiores, ao longo do tempo, do que o custo de se investir nas ações de mitigação. E há algumas opções de mitigação podem ter custo de abatimento negativo.

Modalidade. A mensagem do IPCC em seu 5o. Relatório de Avaliação é taxativa – ainda é possível atingir o objetivo de limitação do aquecimento global a 2 graus Celsius. Mas para isso é necessário que haja um grande esforço de mitigação coletivo e coordenado entre as nações. As emissões globais precisam atingir seu pico máximo nos próximos anos. E em seguida seguir um caminho de reduções progressivas acelerado para viabilizar as ações necessárias a tempo de se evitar que o aquecimento global ultrapasse os dois graus. É necessário, portanto, que os países se comprometam com metas de redução ou limitação de emissões para o conjunto da economia que sejam quantificáveis em termos absolutos, em termos de total de emissões em toneladas de CO2eq. Ações ou políticas setoriais devem ser o meio para se atingir as metas absolutas, podem dar sustentação à meta, e devem ser incluídas no detalhamento e registro das “Contribuições Nacionalmente Determinadas” junto à UNFCCC.

Período ou duração da Contribuição Nacionalmente Determinada. A negociação de metas para um período de 5 anos pressupõe que uma nova negociação ocorra, talvez antes mesmo do início da vigência daquele período compromisso, sobre as metas futuras, o que pode resultar em atrasos e lacunas temporais importantes. Por outro lado, um período de compromisso de 10 anos é muito longo para que se possa cobrar ações e resultados dos países logo no início do mesmo (o que é fundamental para que se possa progredir rapidamente em âmbito mundial em redução de emissões de gases de efeito estufa). O Observatório do Clima considera ser o melhor caminho o da definição de períodos de compromisso de 10 anos, sendo o primeiro período de 1o de janeiro de 2021 a 31 de dezembro de 2030, e recomenda que se defina uma meta de redução de emissões ou limite de emissões para 2030 e uma meta intermediária para 2025, com mecanismo que permita a revisão destas metas à luz da ciência mais recente, como novos resultados do trabalho do IPCC, sejam novos relatórios de avaliação ou de análises específicas (setoriais, regionais etc.), para que se assegure a manutenção da trajetória das emissões globais dentro do limite dos 2 graus Celsius.",Apresentação de um plano ou estratégia nacional de adaptação.,"Uma estratégia adequada de adaptação às mudanças climáticas para o Brasil, assim como para qualquer outra nação, demanda a identificação e avaliação das vulnerabilidades e oportunidades de adaptação e aumento de resiliência, tanto em termos regionais e locais como em âmbito dos diferentes setores da economia. Em uma nação territorialmente extensa e com imensa diversidade social, cultural e de espécies como nosso país, é crítico que se considere a inserção de estratégias de adaptação baseada em ecossistemas e comunidades em uma estratégia nacional sobre adaptação, de forma a capacitar comunidades e populações locais para lidar com e reduzir suas vulnerabilidades, e para que o bom manejo de ecossistemas naturais bem conservados contribua para o aumento de resiliência frente às mudanças climáticas. O Observatório do Clima considera importante que o Governo Brasileiro registre junto à UNFCCC o seu Plano Nacional de Adaptação às Mudanças do Clima (atualmente em desenvolvimento). Embora este Plano não seja objeto desta consulta, deve ser construído, também considerando-se as recomendações e diretrizes da UNFCCC, como por exemplo as feitas pela UNFCCC em sua Decisão 5/CP.17, que demanda que os Planos Nacionais de Adaptação devam incluir objetivos de reduzir a vulnerabilidade do país aos impactos das alterações climáticas, através da construção de capacidade de adaptação e resiliência, e de viabilizar a integração da lógica de adaptação às alterações climáticas, de forma coerente, em políticas, programas e ações, novos e existente, e processos e estratégias de desenvolvimento determinados,  em todos os setores relevantes e em diferentes níveis (nacional, regional, local etc.), conforme a necessidade. E recomenda que o Plano Nacional inclua metas, indicadores de monitoramento e avaliação e meios de implementação. ","Algumas ações de combate à mudança do clima dos países em desenvolvimento devem ser realizadas com recursos próprios na medida do possível, mas esforços adicionais dependem de recursos financeiros e transferência de tecnologia de países desenvolvidos, de forma a não comprometer a prioridade ao desenvolvimento econômico e social e à erradicação da pobreza.",Nenhuma das anteriores (justifique ao final do bloco),"O Brasil deve assumir o compromisso de apoiar outros países em desenvolvimento na implementação de suas respectivas ações de mitigação e/ou adaptação, por meio de iniciativas Sul-Sul.","Orientação ao posicionamento do Brasil na definição de sua contribuição ao Novo acordo. O Brasil é uma grande economia emergente, que possui capacidade para direcionar recursos próprios para suas políticas, medidas e ações para mitigação e adaptação às mudanças climáticas, e que deverá eliminar a pobreza extrema até 2020. Uma quantidade significativa de recursos é hoje alocada em políticas e ações de mitigação e adaptação. Temos, por exemplo, um conjunto de Planos Setoriais de Mitigação e Adaptação, que contam com recursos orçamentários federais para sua execução. E o Brasil possui o Fundo Nacional sobre Mudança do Clima, que financia algumas ações importantes de adaptação e subsidia a própria elaboração do Plano Nacional de Adaptação.

Fontes de recursos. A negociação no âmbito da UNFCCC para definição de metas de redução de emissões para todos os país, para o período pós-2020, inclui um amplo debate sobre distribuição equitativa de compromissos e metas. Portanto, a meta a ser definida para o Brasil deverá, assim como para os demais países, ser correspondente à sua parcela de responsabilidade e à sua capacidade de ação. O Brasil é uma grande economia emergente, que tem condições de assumir compromissos significativos para redução e limitação de suas emissões de gases de efeito estufa, a partir de 2020. Recursos externos, advindos de um mecanismo de REDD+ no âmbito da UNFCCC, pelo reconhecimento à performance do país na redução de emissões de desmatamento e degradação florestal, podem, eventualmente, contribuir para que o país avance em seus esforços em uma área que já conta com recursos importantes da cooperação internacional (vide Fundo Amazônia, que conta com recursos da Noruega e Alemanha).

Cooperação Sul-Sul. O Brasil já desenvolve ações de cooperação junto a outros países em desenvolvimento, em especial com países menos desenvolvidos, em áreas importantes, como monitoramento de cobertura vegetal. Esta cooperação não depende única e exclusivamente da existência de recursos externos. Portanto recomenda-se que o país coopere, na medida de sua capacidade, de diferentes maneiras, como em capacitação e transferência de conhecimento e tecnologia. No entanto, havendo recursos no âmbito da cooperação internacional, da UNFCCC e Fundo Verde de Clima, estas ações de cooperação podem ser intensificadas.","Para fins de definição da Contribuição Nacionalmente Determinada, o Observatório do Clima considera que:

. a posição do Governo Brasileiro no âmbito da UNFCCC deve ser orientada primordialmente pelo objetivo maior da Convenção: estabilização das concentrações de gases de efeito estufa na atmosfera em um nível que impeça uma interferência antrópica perigosa no sistema climático; o consenso científico e político define os 2 graus Celsius de aquecimento global como o limite máximo relativamente seguro que traduz aquele objetivo;

. a Contribuição Nacionalmente Determinada pretendida pelo Governo Brasileiro não deve ser condicionada às pretendidas por qualquer dos países signatários da UNFCCC;

. independente de regras a serem definidas para alocação de metas de redução de emissões entre países, todos os principais emissores de gases de efeito estufa terão que reduzir substancialmente suas emissões no período pós-2020 para que seja possível limitar o aquecimento global a 2 graus Celsius;

. o conjunto de cenários do IPCC AR5 que maximiza as possibilidades de se manter o aquecimento abaixo do limite dos 2 graus Celsius corresponde a um máximo de emissões globais de 20Gt CO2eq em 2050; com população global projetada de 9,5 milhões de habitantes (Banco Mundial), as emissões per capita globais devem estar entre 1,0 e o máximo de 2,1 Gt CO2e naquele ano; estima-se que o Brasil terá 223 milhões de habitantes em 2050 (IBGE); as emissões líquidas do país naquele ano devem ser inferiores a 0,5 Gt de CO2eq;

. Mathews et al. (2014) indicam que o Brasil tem responsabilidade histórica de 4,9% em relação ao aquecimento global observado, provocado por ações humanas, e é o 4o. maior responsável por este aquecimento; Höhne et al. (2013) propõem que a redução das emissões do conjunto de países da América Latina compatível com o limite de 2 graus Celsius para 2030 está entre 15% e 49% em relação a índices de 2010, ao analisar várias abordagens de repartição de esforços de mitigação; as emissões brasileiras líquidas em 2010 foram da ordem de 1,2 Gt CO2eq (MCTI);

. simulações feitas a partir de aplicação da metodologia proposta pela Calculadora de Referência de Equidade Climática (EcoEquity e Stockholm Environment Institute), que permite estimar a responsabilidade de cada país para futuras reduções de emissões a partir da definição de indicadores quantitativos de capacidade, emissões históricas e desenvolvimento), indicam que uma meta adequada para Brasil para 2030, poderia ser de cerca de 0,6 GtCO2eq, ou mesmo inferior a este valor, conforme o peso dado a cada indicador;

O Observatório do Clima considera, portanto, que a meta brasileira para 2030 deve resultar em emissões líquidas de gases de efeito estufa inferiores a 1 GtCO2eq naquele ano.

Para embasar a definição de suas metas de redução de emissões, o Governo Brasileiro deve realizar análises que considerem diferentes propostas de alocação equitativa de esforços de mitigação, apresentadas por países no âmbito da UNFCCC, observadores e especialistas, incluindo a própria proposta brasileira sobre responsabilidades históricas, ajustada para avaliar o potencial efeito das emissões cumulativas por país no aumento de temperatura global.

O Observatório do Clima considera ser plenamente viável ao Brasil reduzir suas emissões de gases de efeito estufa a níveis bastante inferiores a 1 GtCO2eq em 2030. A partir da definição de políticas, medidas e investimentos adequados, o país poderia chegar a uma redução de até 50% de suas emissões em 2030, em relação aos índices de 2010 (1,2 Gt CO2eq).

A fim de promover as necessárias reduções de emissões de gases de efeito estufa de acordo com sua responsabilidade e capacidade no período pós-2020, é fundamental que o país incorpore de forma estratégica a lógica do desenvolvimento baseado em reduções progressivas de emissões de gases de efeito estufa e resiliente às mudanças climáticas em todo o seu conjunto de grandes políticas e planos de desenvolvimento."
361,Individual,terceiro setor,,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.",Os benefícios coletivos de ações de mitigação superam eventuais perdas econômicas de setores específicos.,Abordagens mistas que combinem duas ou mais das modalidades acima.,Múltiplos períodos,,,,,,,,
363,Individual,setor empresarial,,"O esforço é substancial e, portanto, o compromisso nacional voluntário atual deverá ser prorrogado no período pós-2020.",É aceitável que ações de mitigação impliquem algum grau de redução na atividade econômica.,"Ações ou políticas setoriais, com objetivos definidos para cada setor separadamente. Isto é, ações que utilizem diferentes métricas específicas, não necessariamente em toneladas de CO2eq, como, por exemplo, aumentar a participação de tecnologias de baixa emissão de carbono em um determinado setor ou reduzir a área de desmatamento.",Até 2050,"Olha acredito que devemos parar de derrubar arvores por todos os cantos, sabendo que temos varias outras alternativas ja mostradas em todo o mundo de como podemos fazer por exemplo papel, existe plantas naturais que devem ser autorizadas a ser plantadas, com certeza apesar de ter que enfrentar o lobby farmaceutico iriamos saltar uns 20 anos em apenas 5 anos. Podemos ser exemplo de como parar de derrubar arvores no mundo, vamos pensar sobre isso. Vamos tirar a sociedade das mãos de lobbys contra o avanço da nossa sociedade BRASILEIRA!",Apresentação de um plano ou estratégia nacional de adaptação.,"Bom vou usar um exemplo:
Algodão: precisa-se de toneladas de agrotoxicos para se produzir, temos que voltar para o ano de 1920 quando ainda podia se fazer coisas atravez do canhamo. Roupas se tornariam muito mais baratas e mais resistentes, teriamos totais condições de quase extinguir a derrubada de arvores para produção de papel. A fibra dela substituiria vários materias que hoje usamos derrubando e matando a natureza. Vamos parar de ser escravos dos donos da Farmaceutica, ",Nenhuma das anteriores (justifique ao final do bloco).,"O Brasil atingiu um grau de desenvolvimento suficiente para implementar sua contribuição nacional com recursos próprios, e poderá abrir mão de financiamento internacional para esse fim.","O Brasil deve concentrar seus recursos na implementação de sua contribuição nacional, sem assumir obrigações de apoio a outros países em desenvolvimento.","Temos que implementar alguma coisa que ainda não foi criada, pois todos os metodos apresentados mostram-se incapazes de fazer uma mudança significativa. Eu acredito que liberando a maconha e usando totalmente todas suas capacidades, podemos diminuir o desmatamento em mais da metade. Papel, moveis, tecidos tdo seria feito atravez da fibra que ela nos fornece, provavelmente estariamos em um patamar maior que o da china em menos de 15 anos. Com lindas florestas e arvores brotando, e sem precisar usar agrotoxicos em algodão por exemplo. Que se nao for o maior é um dos maiores consumidores de agrotoxicos do mundo.",Liberar a Cannabis seria um passo GIGANTESCO contra a emisão de CO2
368,Representante de organização ou instituição,terceiro setor,CECNA - Centro de Estudos e Conservação da Natureza,"O Brasil demonstrou ser capaz de reduzir emissões de forma ambiciosa, mas ainda pode fazer mais em todos os setores.",Os potenciais impactos da falta de ação global superam eventuais perdas econômicas.,Abordagens mistas que combinem duas ou mais das modalidades acima.,Múltiplos períodos,"Controle especial e rígido da indústria automobilística, determinando substituição de combustíveis fósseis por renováveis. Aumento da fiscalização de áreas florestais visando o combate a incêndios florestais e criação e implementação de unidades de conservação e reservas indígenas","Apresentação de melhores práticas em redução de vulnerabilidades e adaptação, para fins de colaboração internacional.","Transição agroflorestal em áreas de monocultivos e pastoris, visando o aumento da biomassa e consequente captura de carbono e inclusão social.","Algumas ações de combate à mudança do clima dos países em desenvolvimento devem ser realizadas com recursos próprios na medida do possível, mas esforços adicionais dependem de recursos financeiros e transferência de tecnologia de países desenvolvidos, de forma a não comprometer a prioridade ao desenvolvimento econômico e social e à erradicação da pobreza.","O Brasil deve implementar ações de mitigação que sejam de interesse nacional com recursos próprios, de acordo com a capacidade financeira do país. Poderão ser realizadas ações adicionais de mitigação, se houver apoio financeiro e tecnológico dos países desenvolvidos.","O Brasil deve assumir o compromisso de apoiar outros países em desenvolvimento na implementação de suas respectivas ações de mitigação e/ou adaptação, por meio de iniciativas Sul-Sul.",,"Valorização da vida em todos os sentidos e de todas as espécies. Prioridade na conservação da biodiversidade terrestre e marinha e na garantia dos direitos às minorias, sobretudo povos rurais, indígenas e tribais"
369,Individual,academia,,"O Brasil demonstrou ser capaz de reduzir emissões de forma ambiciosa, mas ainda pode fazer mais em todos os setores.",Os benefícios coletivos de ações de mitigação superam eventuais perdas econômicas de setores específicos.,Abordagens mistas que combinem duas ou mais das modalidades acima.,Até 2030,"1) É necessário reduzir as emissões no setor de energia elétrica, entre 2008 e 2012 as emissões deste setor AUMENTARAM em 35%. A utilização da energia solar em larga escala poderia ser uma forma de minimizar este problema.
2) É importante assumir compromissos de aumento da eficiência de forma que, em média, cada unidade de produto gerado fosse menos intensivo em energia e cada unidade de energia fosse menos intensiva em carbono.","Apresentação de melhores práticas em redução de vulnerabilidades e adaptação, para fins de colaboração internacional.","1)Semi-árido, onde está concentrada ainda uma grande parte da população mais pobre e mais vulnerável socialmente.
2)Centros urbanos onde seria necessário fazer um reordenamento da ocupação do solo na regiões mais vulneráveis aos eventos climáticos extremos.  ","Algumas ações de combate à mudança do clima dos países em desenvolvimento devem ser realizadas com recursos próprios na medida do possível, mas esforços adicionais dependem de recursos financeiros e transferência de tecnologia de países desenvolvidos, de forma a não comprometer a prioridade ao desenvolvimento econômico e social e à erradicação da pobreza.","O Brasil deve implementar ações de mitigação que sejam de interesse nacional com recursos próprios, de acordo com a capacidade financeira do país. Poderão ser realizadas ações adicionais de mitigação, se houver apoio financeiro e tecnológico dos países desenvolvidos.","O Brasil deve apoiar os países de menor desenvolvimento relativo, de maneira voluntária e quando solicitado, por meio de iniciativas Sul-Sul.",,"O Brasil deve rever o crescimento do setor  da construção civil já que o aumento vertiginoso que vem ocorrendo no número de residências, especialmente em prédios, não considera em geral o impacto futuro de utilização de sistemas ineficientes de conforto térmico tais como preparação para ar condicionado em todos os quartos ao invés de janelas adequadas ou utilização de chuveiros elétricos em detrimento de aquecimento solar da água.
O setor tem impactos nas emissões para as próximas décadas e não está realizando ações de mitigação concreta e nem tão pouco parece estar criando condições de adaptação às mudanças climáticas."
370,Individual,academia,,Nenhuma das anteriores (justifique ao final do bloco).,"Ações nas áreas de educação, saúde e segurança pública devem ter prioridade sobre ações de mitigação.","Ações ou políticas setoriais, com objetivos definidos para cada setor separadamente. Isto é, ações que utilizem diferentes métricas específicas, não necessariamente em toneladas de CO2eq, como, por exemplo, aumentar a participação de tecnologias de baixa emissão de carbono em um determinado setor ou reduzir a área de desmatamento.",Até 2025,"Não é possível perceber uma articulação eficiente entre as Políticas propostas/ aprovadas e as alterações legislativas (ex.: Novo Código Florestal. Não existe cuidado com o efeito das mudanças legislativas e seu efeito nas emissões.A legislação de proteção ambiental existente não é obedecida, quando se trata do processo legislativo interno. A fiscalização interna também é ineficiente e institucionalmente desestruturada. ",Monitoramento dos impactos observados em nível nacional e local,,"Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil deve implementar ações de mitigação que sejam de interesse nacional com recursos próprios, de acordo com a capacidade financeira do país. Poderão ser realizadas ações adicionais de mitigação, se houver apoio financeiro e tecnológico dos países desenvolvidos.",Eventual compromisso de apoio do Brasil a outros países em desenvolvimento deve ser condicionado ao apoio efetivamente prestado por países desenvolvidos.,,"Compromisso individual de aperfeiçoamento na implementação das ações (legislativas e administrativas)relacionadas às políticas públicas de proteção ambiental e do clima. Incentivos governamentais à adesão da iniciativa privada (individual e empresarial). PRINCIPALMENTE, ações de EDUCAÇÃO AMBIENTAL (com a efetiva implementação da Política Nacional de Educação Ambiental EM TODOS OS NÍVEIS) além de esforço concentrado na divulgação dos impactos das mudanças climáticas na vida das pessoas."
371,Representante de organização ou instituição,terceiro setor,ECOA - Ecologia e Ação,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.","Deve-se privilegiar ações que reduzam a taxa de crescimento das emissões, sem criar impedimento ao desenvolvimento econômico e social.","Ações ou políticas setoriais, com objetivos definidos para cada setor separadamente. Isto é, ações que utilizem diferentes métricas específicas, não necessariamente em toneladas de CO2eq, como, por exemplo, aumentar a participação de tecnologias de baixa emissão de carbono em um determinado setor ou reduzir a área de desmatamento.",Até 2050,,"Apresentação de melhores práticas em redução de vulnerabilidades e adaptação, para fins de colaboração internacional.","A vulnerabilidade socioeconômica e ambiental de comunidades tradicionais, estas normalmente dependem diretamente do ambiente para sobreviver,e consequentemente qualquer alteração acarreta grandes impactos. No campo ambiental, uma das áreas que merecem atenção é o Pantanal, é aqui no Brasil que temos a maior área úmida de água doce do mundo e isso simplesmente não é levado em consideração. Este sistema de umidade é complexo e sensível as alterações climáticas e especialmente as  alterações antrópicas, merece um avaliação mais cuidadosa.","Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil atingiu um grau de desenvolvimento considerável, mas ainda precisará de recursos internacionais para implementar efetivamente sua contribuição nacional ao novo acordo sob a Convenção.","Havendo recursos disponíveis, o Brasil pode apoiar voluntariamente outros países em desenvolvimento na implementação de suas respectivas ações de mitigação e/ou adaptação, por meio de iniciativas Sul-Sul.",,"Deve ser avaliado a inclusão de mecanismos de ""Prevenção"", ou seja, ferramentas e/ou sistemas de prevenção eficazes que possam diminuir os impactos recorrentes dos evento climáticos extremos que vêm ocorrendo no pais."
374,Individual,academia,,,,,,"Questão 1- O Brasil de fato conseguiu reduzir suas emissões de desmatamento substancialmente, e isto deve ser reconhecido. Porém, o país tem a capacidade e responsabilidade necessárias para reduzir ainda mais as emissões no setor de mudança do uso da terra e florestas, além de em todos os outros setores.
Questão 2 - Além dos benefícios coletivos de ação de mitigação serem enormes, com impactos positivos na saúde, segurança alimentar e diminuição de eventos extremos, por exemplo, a longo prazo, os impactos econômicos serão ainda maiores caso nenhuma medida seja tomada agora. O Brasil tem emissões per capita e renda per capita acima de media mundial, e precisa cumprir sua responsabilidade de reduzir emissões. Existem diversas ações que podem, ao mesmo tempo, trazer benefícios para a economia, como melhorar eficiência energética, desenvolver liderança em indústrias e tecnologias de baixo carbono, entre outras.  
Questão 3 - A meta de redução ou limitação de emissões para o conjunto da economia em relação a um ano é necessária, mas deve estar pautada em metas realistas de redução por setor, que devem ser utilizadas como estratégia para se chegar à meta do conjunto da economia. Tal meta também deve estar baseada em projeções futuras, emissões per capita e responsabilidades históricas.
Questão 4 - Múltiplos períodos com metas específicas para 2025 e 2030. Além destas duas metas é extremamente relevante que haja um processo de revisão das metas e ""ratcheingup"" para que o limite de 2ºC não seja atingido. Medidas de “earlyaction” são absolutamente necessárias antes da implementação do tratado.
",Objetivos nacionais específicos.,"O Grupo de Trabalho de Adaptação relacionado ao Plano Nacional de Adaptação conta com 9 subgrupos que devem ter a participação efetiva de representantes da sociedade civil e uma discussão efetiva com diferentes setores e organizações de base. As principais áreas de maior preocupação, como agua, biodiversidade, segurança alimentar, energia, etc, portanto, já estão contempladas. Nossa maior preocupação hoje, então, está no fato de que o Plano de Adaptação, deve ser concluído com participação efetiva da sociedade civil, que contemple toda a diversidade do país, inclusive grupos minoritários como jovens e indígenas. Tal plano deve considerar também estratégias que considerem alternativas que fomentem a conservação florestal e da biodiversidade aumentando a sua resiliência da sociedade brasileira e das populações que dependem dos recursos naturais para a sua sobrevivência. Espera-se que este ano seja finalizada uma primeira versão deste Plano e que este seja apresentado e discutido no âmbito internacional com vistas a que seja apresentado na COP de Paris como mais uma contribuição nacional ao processo internacional, estabelecendo um diálogo direto entre os diferentes âmbitos.",,,,,"O Brasil deve apoiar medidas para fortalecer a regime internacional além de metas e contribuições dos países individuais, que pode apoiar e acelerar a redução de emissões globais. Algumas das tais medidas seriam:
•	Acordos setoriais para, por exemplo, aço, cimento, etc.;
•	Acordos para padrões mínimos de eficiência de eletrodomésticos, carros, equipamentos, etc;
•	Metas de aumento de energia renovável;
•	Eliminação de subsídios aos combustíveis fósseis;
•	Mecanismos ou instrumentos para transferir investimentos de larga escala de tecnologias sujas para renováveis, limpas e de baixo carbono;
•	Medidas para controlar emissões de transporte marítimo e aviação internacional.
Tais elementos precisariam ser negociados, e não dependemsóda decisão do Brasil, mas o Brasil pode sinalizar um interesse em começar negociações para estes fins.
Algumas iniciativas nacionais poderiam levar o Brasil até o caminho de um futuro de baixo carbono:
•	 Estabelecer uma meta de redução do desmatamento líquido a zero, implementar decisões, políticas e inciativas que levem a um futuro que vise este objetivo;
•	Implementar iniciativas no setor de transportes e mobilidade urbana que busque reduções significativas no setor, com iniciativas de taxação de transporte marítimo internacional discutidos no âmbito internacional;
•	Revisão dos planos setoriais incluindo cenários ambiciosos de redução das emissões nacionais com base no calculo da redução nacional necessária para garantir a segurança climática;
•	Investimentos que considerem premissas básicas de fomento à tecnologias de baixo carbono e que fomentem aumento de resiliência da população;
•	Metas de aumento da participação de energia renovável alternativa na matriz brasileira;
•	Redução e eliminação de políticas e incentivos que sejam contrários à redução das emissões de gases de efeito estufa, como subsídios à combustíveis fósseis;
•	Investimento em alternativas tecnológicas de baixo carbono e cooperação internacional em sua implementação.
•	Aumentar a participação social e transparência em processos de tomada de decisão sobre tomadas de decisão no âmbito internacional e nacional de Clima e Energia
Comentário final:
Como organização liderada e composta apenas por jovens, o Engajamundo acredita que este questionário foi elaborado de forma muito técnica, exigindo um conhecimento aprofundado sobre o tema, o que inviabiliza a participação e colaboração da população brasileira como um todo nesta consulta pública. Encorajamos o Itamaraty a organizar consultas em uma linguagem mais acessível para que a juventude e outros grupos minoritários possam ser devida e legitimamente representados nas respostas.
"
